connectome_size,num_connections,time_bct
100,50,1.0935695999999995
150,50,2.3211592999999997
200,50,4.0863098
250,50,6.138160499999998
300,50,8.667642500000003
350,50,11.605946199999998
400,50,15.417965199999998
450,50,19.089315300000003
500,50,23.895505900000003
550,50,30.0574285
600,50,35.75434590000002
650,50,42.861854100000016
700,50,49.948397099999994
750,50,57.81738469999999
100,150,1.388875999999982
150,150,2.866628999999989
200,150,4.889708299999995
250,150,0.0
300,150,10.637589600000013
350,150,14.457345400000008
400,150,18.961369400000024
450,150,23.9364865
500,150,28.336665299999993
550,150,36.53171960000003
600,150,43.02489030000004
650,150,50.834595500000034
700,150,58.89191190000008
750,150,67.85917400000005
100,250,1.8022816999999804
150,250,3.2819005999999717
200,250,5.504357500000083
250,250,8.295647799999983
300,250,12.21236859999999
350,250,16.097417500000006
400,250,20.991055200000005
450,250,27.024608100000023
500,250,37.52289189999999
550,250,41.43864630000007
600,250,48.67465589999995
650,250,57.44504429999995
700,250,67.29950750000012
750,250,109.74000860000001
100,350,2.531346900000017
150,350,0.0
200,350,5.977313100000174
250,350,8.96801400000004
300,350,12.815019800000073
350,350,0.0
400,350,23.151161300000012
450,350,29.26264449999985
500,350,35.66853979999996
550,350,45.41250459999992
600,350,53.884543499999836
650,350,63.19085249999989
700,350,73.97894640000004
750,350,83.61127619999979
100,450,3.5118543999999474
150,450,4.435300599999891
200,450,6.502059600000166
250,450,9.562604299999975
300,450,13.645827400000144
350,450,18.323086099999955
400,450,24.628727900000058
450,450,31.429772299999968
500,450,37.914902700000084
550,450,49.11137280000003
600,450,58.02595829999996
650,450,67.40131310000015
700,450,79.17456040000002
750,450,89.55358299999989
100,550,4.827629200000047
150,550,5.442325399999845
200,550,7.223770699999932
250,550,10.080752599999869
300,550,14.222612600000048
350,550,19.2683191000001
400,550,26.033024000000296
450,550,32.60752750000029
500,550,40.18004070000006
550,550,51.70754020000004
600,550,60.82805090000011
650,550,72.3643360000001
700,550,82.71442950000028
750,550,95.88546159999987
100,650,6.418317500000285
150,650,6.566158300000097
200,650,7.952596399999948
250,650,11.052384600000096
300,650,15.414062999999715
350,650,20.260042599999906
400,650,27.684734899999967
450,650,34.244073599999865
500,650,41.72973920000004
550,650,54.667237900000146
600,650,64.68661100000008
650,650,74.82027640000024
700,650,86.63929299999972
750,650,101.44937769999979
100,750,0.0
150,750,8.069249099999979
200,750,9.135180000000219
250,750,0.0
300,750,15.979467900000145
350,750,20.79748470000004
400,750,28.100790799999686
450,750,35.718894799999816
500,750,43.0125137
550,750,57.40732660000003
600,750,67.88020029999961
650,750,78.33991990000004
700,750,90.75743770000008
750,750,105.6548315
100,850,0.0
150,850,9.561723799999982
200,850,0.0
250,850,13.158553499999925
300,850,16.939160399999764
350,850,21.623488199999883
400,850,29.40325669999993
450,850,37.44949889999998
500,850,45.50574890000007
550,850,58.45186280000007
600,850,69.73941860000014
650,850,82.1267786000003
700,850,95.2938935000002
750,850,109.25764359999994
100,950,0.0
150,950,0.0
200,950,12.216487900000175
250,950,0.0
300,950,18.089072800000395
350,950,22.739037400000598
400,950,30.472945599999548
450,950,38.0612787
500,950,46.734259400000155
550,950,60.3298977000004
600,950,73.45416180000029
650,950,85.15864299999976
700,950,99.49135079999996
750,950,115.55851319999965
