connectome_size,num_connections,time_gnm
790,950,2.9754057000000005
780,950,2.7858048999999996
770,950,2.920793999999999
760,950,3.2608046999999996
750,950,4.543266699999998
740,950,10.4623524
730,950,14.3933484
720,950,11.443563599999997
710,950,11.904371899999994
700,950,12.079860699999998
690,950,11.955203400000002
680,950,10.987761800000001
670,950,10.982691099999997
660,950,7.646278500000008
650,950,3.148392400000006
640,950,2.884148499999995
630,950,2.748000300000001
620,950,2.8544286000000056
610,950,2.9791317000000106
600,950,2.9123878000000047
590,950,2.975959500000016
580,950,2.871235100000007
570,950,2.7847049000000084
560,950,2.7153063999999745
550,950,2.6595870999999818
540,950,2.7063559000000055
530,950,2.8278630999999734
520,950,2.731870299999997
510,950,2.9120604000000014
500,950,2.818282900000014
490,950,2.8367237000000216
480,950,2.6848606000000075
470,950,2.861198999999999
460,950,2.6054637000000014
450,950,2.717907700000012
440,950,2.61785900000001
430,950,2.750652300000013
420,950,2.8039786999999876
410,950,2.888548400000019
400,950,2.7830056999999897
390,950,2.6260586999999873
380,950,2.7612383999999963
370,950,2.6889868000000092
360,950,2.779866599999991
350,950,2.711716800000005
340,950,2.7319923000000017
330,950,2.754534700000022
320,950,2.8938645000000065
310,950,3.020402500000017
300,950,2.8730163000000175
290,950,2.9518956999999943
280,950,3.004439500000018
270,950,3.055283800000012
260,950,2.8948654000000147
250,950,2.863105200000007
240,950,2.8082027000000096
230,950,2.8327097000000094
220,950,2.792485499999998
210,950,2.730244599999992
200,950,2.713796599999995
190,950,2.6692706000000044
180,950,2.707714699999997
170,950,2.651575600000001
160,950,2.7100019999999745
150,950,2.7060408000000393
140,950,2.7154464999999846
130,950,2.6840283999999883
120,950,2.7504291000000194
110,950,2.732351200000039
100,950,2.709428399999979
790,900,3.04388849999998
780,900,2.5990132000000017
770,900,2.745188600000006
760,900,2.5963393999999766
750,900,2.651210600000013
740,900,2.5630237000000307
730,900,2.661475399999972
720,900,2.6082640999999853
710,900,2.4992224999999735
700,900,2.585146399999985
690,900,2.5349206999999865
680,900,2.5751695000000154
670,900,2.544725700000015
660,900,2.5737804000000324
650,900,2.609043299999996
640,900,2.618025400000022
630,900,2.595457500000009
620,900,2.579494000000011
610,900,2.7627608000000237
600,900,2.8475045000000136
590,900,2.6799769000000424
580,900,2.6268186999999443
570,900,2.7982598000000394
560,900,2.8625629000000004
550,900,2.783492000000024
540,900,2.6962937000000124
530,900,2.668672900000047
520,900,2.755343899999957
510,900,2.7772358999999938
500,900,2.9190882999999985
490,900,2.8523804000000155
480,900,2.7302369999999883
470,900,2.6460394000000065
460,900,2.6582281999999964
450,900,2.6011399999999867
440,900,2.8695397000000185
430,900,2.727563900000007
420,900,2.9399707000000035
410,900,3.0569745999999896
400,900,3.1429304000000116
390,900,3.00104970000001
380,900,2.816206299999976
370,900,2.7902921000000447
360,900,2.6895183000000316
350,900,3.2141481000000454
340,900,2.86825639999995
330,900,2.750078500000029
320,900,2.8779585999999995
310,900,2.770675200000028
300,900,2.58978860000002
290,900,2.5297683000000006
280,900,2.5526967000000127
270,900,2.5295545000000175
260,900,2.602901700000018
250,900,2.744979399999977
240,900,2.436264499999993
230,900,2.5095575999999937
220,900,2.706787599999984
210,900,2.6480566999999837
200,900,2.710367299999973
190,900,2.6787721000000033
180,900,2.5602824000000055
170,900,2.6384557000000086
160,900,2.5955079999999953
150,900,2.651728500000047
140,900,2.722020500000042
130,900,2.727996399999995
120,900,2.6025167999999894
110,900,2.6986660999999685
100,900,2.7066169999999943
790,850,2.8642346000000316
780,850,2.624433599999975
770,850,2.6245797000000266
760,850,2.4466544999999655
750,850,2.4691756000000282
740,850,2.5373346000000083
730,850,2.4723620000000324
720,850,2.4764842999999814
710,850,2.4763429999999858
700,850,2.470699599999989
690,850,2.3796744999999646
680,850,2.382595100000003
670,850,2.414641999999958
660,850,2.467594800000029
650,850,2.4258611999999857
640,850,2.342494600000009
630,850,2.436686399999985
620,850,2.468889200000035
610,850,2.384047600000031
600,850,2.46222309999996
590,850,2.3937124000000267
580,850,2.398017500000037
570,850,2.4088023000000476
560,850,2.373362400000019
550,850,2.3386010999998916
540,850,2.3991735000000745
530,850,2.392832099999964
520,850,2.448399600000016
510,850,2.499751799999899
500,850,2.5333160000000134
490,850,2.4988359000000173
480,850,2.453218199999924
470,850,2.5083835000000363
460,850,2.5222303000000466
450,850,2.667827999999986
440,850,2.511761799999931
430,850,2.6275933999999097
420,850,2.6206452000000127
410,850,2.6244162000000415
400,850,2.580079699999942
390,850,2.628388399999949
380,850,2.574815899999976
370,850,2.516943099999935
360,850,2.557484700000032
350,850,2.6092698999999584
340,850,2.6892255000000205
330,850,2.480694799999924
320,850,2.58239489999994
310,850,2.7246081000000686
300,850,2.5831064999999853
290,850,2.6158236999999644
280,850,2.6616906000000427
270,850,2.6552495999999337
260,850,2.655840399999988
250,850,2.493532000000073
240,850,2.5342033000000583
230,850,2.9293875999999273
220,850,2.6969998000000714
210,850,2.762807299999963
200,850,2.5828672000000097
190,850,2.7601386000000048
180,850,2.7140781000000516
170,850,2.7458665000000337
160,850,2.606054400000062
150,850,2.443928299999925
140,850,2.570534299999963
130,850,2.561602500000049
120,850,2.579571299999998
110,850,2.656756900000005
100,850,2.4780011999999942
790,800,2.685910799999988
780,800,2.606820399999947
770,800,2.6063884000000144
760,800,2.506626800000049
750,800,2.3944245999999794
740,800,2.37402110000005
730,800,2.435683700000027
720,800,2.3726603999999725
710,800,2.4635065999999597
700,800,2.383307500000001
690,800,2.449088800000027
680,800,2.4395838000000367
670,800,2.394809599999917
660,800,2.3206989999999905
650,800,2.3276815000000397
640,800,2.3531432000000905
630,800,2.2826218000000154
620,800,2.501520600000049
610,800,2.341951600000016
600,800,2.353639199999975
590,800,2.413562899999988
580,800,2.52592089999996
570,800,2.5798760999999786
560,800,2.6235603000000083
550,800,2.6419001000000435
540,800,2.669629900000018
530,800,2.599761899999976
520,800,2.504870600000004
510,800,2.6600073999999267
500,800,2.424156000000039
490,800,2.3110374999999976
480,800,2.3685643000000027
470,800,2.3453316999999743
460,800,2.4209606999999096
450,800,2.435692099999983
440,800,2.365715899999941
430,800,2.3642631000000165
420,800,2.388340900000003
410,800,2.5670569000000114
400,800,2.4132402000000184
390,800,2.396757399999956
380,800,2.441675999999916
370,800,2.407898199999977
360,800,2.365781800000036
350,800,2.468346200000042
340,800,2.636231299999963
330,800,2.61605899999995
320,800,2.6346532000000025
310,800,2.4880716999999777
300,800,2.5395856000000094
290,800,2.4369990000000143
280,800,2.343869400000017
270,800,2.2971546999999646
260,800,2.282936300000074
250,800,2.352520400000003
240,800,2.5117222000000083
230,800,2.37446900000009
220,800,2.432664300000056
210,800,2.451014999999984
200,800,2.8724200000000337
190,800,2.369022599999994
180,800,2.3553044999999884
170,800,2.279708199999959
160,800,2.3515184999999974
150,800,2.343493999999964
140,800,2.309259500000053
130,800,2.3159904000000324
120,800,2.4023230999999896
110,800,2.3877535999999964
100,800,2.326002199999948
790,750,2.5746288999999933
780,750,2.2874990000000253
770,750,2.383651099999952
760,750,2.2204500999999937
750,750,2.305217799999923
740,750,2.357655100000102
730,750,2.327745400000026
720,750,2.3832245999999486
710,750,2.436048700000015
700,750,2.5163807000000133
690,750,2.343286400000011
680,750,2.2730761000000257
670,750,2.313019600000075
660,750,2.273033199999986
650,750,2.1656123999999863
640,750,2.31130840000003
630,750,2.323608199999967
620,750,2.0969345999999405
610,750,2.1861878999999362
600,750,2.2817799000000605
590,750,2.3818046000000095
580,750,2.3179874999999583
570,750,2.3381939999999304
560,750,2.359762499999988
550,750,2.2547455000000127
540,750,2.323973799999976
530,750,2.2295934999999645
520,750,2.318903099999943
510,750,2.3692307999999684
500,750,2.2150742999999693
490,750,2.214944100000025
480,750,2.408205599999974
470,750,2.6839046000000053
460,750,2.288257000000044
450,750,2.3284748000000945
440,750,2.1000890000000254
430,750,2.3423309999999447
420,750,2.343252600000028
410,750,2.4490628000000925
400,750,2.5190201000000343
390,750,2.492022399999996
380,750,2.3677108000000544
370,750,2.5294678000000204
360,750,2.426666599999976
350,750,2.2437598999999864
340,750,2.125489399999992
330,750,2.1309455000000526
320,750,2.0549078999999892
310,750,2.115578600000049
300,750,2.0341788000000633
290,750,2.2223043999999845
280,750,2.160806999999977
270,750,2.201570599999968
260,750,2.121017800000004
250,750,2.1738609000000224
240,750,2.1688084000001027
230,750,2.2081053000000566
220,750,2.0859486000000516
210,750,2.0965704999999843
200,750,2.1252611999999544
190,750,2.104907799999978
180,750,2.14911369999993
170,750,2.0932312999999567
160,750,2.1318067999999357
150,750,2.0907210000000305
140,750,2.0825543000000835
130,750,2.069066899999939
120,750,2.129025699999943
110,750,2.2472189999999728
100,750,2.179448099999945
790,700,2.287689700000101
780,700,1.9838366000000178
770,700,2.05729759999997
760,700,1.9309041999999863
750,700,2.0038798999999017
740,700,2.039169700000002
730,700,1.9160131999999521
720,700,1.9509249000000182
710,700,1.9036452999999938
700,700,1.904858699999977
690,700,1.9282324999999219
680,700,1.9215151000000787
670,700,1.9097222999999985
660,700,1.9219272000000274
650,700,1.92667449999999
640,700,1.941373399999975
630,700,1.9838684999999714
620,700,1.9909499000000324
610,700,2.0076497000000018
600,700,2.082978400000002
590,700,2.011135000000081
580,700,1.986810300000002
570,700,2.046844500000134
560,700,2.048706300000049
550,700,2.041977400000178
540,700,1.9476795000000493
530,700,1.9799792999999681
520,700,1.9712715000000571
510,700,2.052916700000196
500,700,2.031474100000196
490,700,2.0074282000000494
480,700,2.0003583000000162
470,700,2.018429999999853
460,700,2.085682800000086
450,700,2.2691419000000224
440,700,2.111617199999955
430,700,2.059188400000039
420,700,2.194701699999996
410,700,2.016576700000087
400,700,2.1033668000000034
390,700,1.9882555000001503
380,700,1.983919799999967
370,700,2.008810199999971
360,700,2.1857617000000573
350,700,2.203257899999926
340,700,2.0789098999998714
330,700,2.014901000000009
320,700,2.0394138000001476
310,700,2.0544514000000618
300,700,2.110837100000026
290,700,2.0825060999998186
280,700,2.035418099999788
270,700,2.0572073999999247
260,700,2.0721466999998484
250,700,2.2796663999999964
240,700,2.0770652000001064
230,700,2.0892387000001236
220,700,2.072481400000015
210,700,2.145739800000001
200,700,2.322964899999988
190,700,2.1934889000001476
180,700,2.3544718000000557
170,700,2.1331672999999682
160,700,2.071349100000134
150,700,2.0946278999999777
140,700,2.0610002000000804
130,700,2.0868885999998383
120,700,2.0380517999999483
110,700,2.0161465999999564
100,700,2.0804718000001685
790,650,2.214813900000081
780,650,1.9116966000001412
770,650,1.9014788000001772
760,650,1.868493300000182
750,650,1.919811799999934
740,650,1.980996500000174
730,650,2.0845303999999487
720,650,1.915929399999868
710,650,1.9061162000000422
700,650,1.9050333000000137
690,650,1.9601692999999614
680,650,1.9000164999999924
670,650,2.014816299999893
660,650,1.8395691000000625
650,650,1.901329399999895
640,650,1.8716477999998915
630,650,1.9487440999998853
620,650,1.8988994000001185
610,650,1.9647453000000041
600,650,1.9359492999999475
590,650,1.974651700000095
580,650,1.9210734999999204
570,650,1.9886068000000705
560,650,1.886182399999825
550,650,1.891689400000132
540,650,1.920915199999854
530,650,1.9949203999999554
520,650,1.9680201999999554
510,650,1.9202282999999625
500,650,1.892069900000024
490,650,2.0211543999998867
480,650,2.0722249999998894
470,650,1.9964970000000903
460,650,1.9945693999998184
450,650,1.9644203999998808
440,650,1.9302890000001298
430,650,1.934241400000019
420,650,2.0056984999998804
410,650,1.9005241999998361
400,650,1.9151271000000634
390,650,2.0186438999999154
380,650,2.060367499999984
370,650,1.8839041999999608
360,650,1.8512703999999758
350,650,1.874917600000117
340,650,1.8140235000000757
330,650,1.8457028999998784
320,650,1.8573074000000815
310,650,1.9135854000001018
300,650,2.0201454000000467
290,650,1.918538099999978
280,650,1.8218979999999192
270,650,1.8663113000000067
260,650,1.9100891000000502
250,650,1.8812289999998484
240,650,1.9326608000001215
230,650,1.9939957999999933
220,650,1.8866041999999652
210,650,1.9194401999998263
200,650,1.8945052000001397
190,650,1.9163113000001886
180,650,1.9644023000000743
170,650,1.934789099999989
160,650,1.8639737000000878
150,650,1.9077190000000428
140,650,1.9324889000001804
130,650,1.8905280999999832
120,650,1.927725399999872
110,650,1.9086087000000589
100,650,1.9250240000001213
790,600,2.0361441000000013
780,600,1.7999457999999322
770,600,1.7548223000001144
760,600,1.7187956000000213
750,600,1.745296499999995
740,600,1.7193178999998509
730,600,1.747472900000048
720,600,1.7408373999999185
710,600,1.815074900000127
700,600,1.7073671000000559
690,600,1.6960953999998765
680,600,1.7047928000001775
670,600,1.7315424999999323
660,600,1.7374389999999948
650,600,1.6876039999999648
640,600,1.731751499999973
630,600,1.6900019999998221
620,600,1.7847901000000093
610,600,1.7959169999999176
600,600,1.796331999999893
590,600,1.880285800000138
580,600,1.955336299999999
570,600,1.928405899999916
560,600,1.970706600000085
550,600,1.7868923000000905
540,600,1.889089600000034
530,600,1.9135644000000411
520,600,1.806591600000047
510,600,1.6920912999999018
500,600,1.8954665999999634
490,600,1.8989583000000039
480,600,1.830639900000051
470,600,1.8895348000000922
460,600,2.039022100000011
450,600,2.0009900000000016
440,600,1.8963458000000628
430,600,1.721504399999958
420,600,1.868803200000002
410,600,1.890495699999974
400,600,2.0355535999999574
390,600,2.1385609999999815
380,600,1.8913649999999507
370,600,2.0014662000000953
360,600,1.8323711999998977
350,600,1.8644286000001102
340,600,1.968143800000007
330,600,2.0802360000000135
320,600,1.9590998000001036
310,600,1.8085622000000967
300,600,1.7421970000000329
290,600,1.7511149999997997
280,600,1.6900505000000976
270,600,1.7612481000001026
260,600,1.7107255000000805
250,600,1.771555600000056
240,600,1.819501000000173
230,600,1.9376238000002104
220,600,1.7181909000000815
210,600,1.7848060999999689
200,600,1.7389590000000226
190,600,1.732177800000045
180,600,1.7081788999998935
170,600,1.781172799999922
160,600,1.7963382999998885
150,600,1.7266495000001214
140,600,1.7122824000000492
130,600,1.7038320000001477
120,600,1.7897898999999597
110,600,1.6546294999998281
100,600,1.6964398999998593
790,550,1.9123572000000877
780,550,1.5973321999999825
770,550,1.5884871000000658
760,550,1.536674400000038
750,550,1.6093550000000505
740,550,1.572683300000108
730,550,1.6120060000000649
720,550,1.602404500000148
710,550,1.6011574999999993
700,550,1.5745397999999113
690,550,1.5870567999998002
680,550,1.5066411000000244
670,550,1.5334047999999711
660,550,1.572775300000103
650,550,1.5988658999999643
640,550,1.5559061999999813
630,550,1.5968193000001065
620,550,1.5850682000000234
610,550,1.5427884000000631
600,550,1.6679438000001028
590,550,1.5431042000000161
580,550,1.5337852000000112
570,550,1.5635209999998096
560,550,1.6301711000000978
550,550,1.5909838000000036
540,550,1.6160013999999592
530,550,1.6059500999999727
520,550,1.6166111
510,550,1.5503592000000026
500,550,1.5807330000000093
490,550,1.6198371000000407
480,550,1.5989031999999952
470,550,1.5938371000002007
460,550,1.5517540999999255
450,550,1.5847580999998172
440,550,1.6079562999998416
430,550,1.591825199999903
420,550,1.5907827999999427
410,550,1.650933299999906
400,550,1.6720049000000472
390,550,1.6638784999997824
380,550,1.5562342000000626
370,550,1.5675685000001067
360,550,1.5614629000001514
350,550,1.5175421999999799
340,550,1.5221281000001454
330,550,1.5802639999999428
320,550,1.5762306999999964
310,550,1.6176355000000058
300,550,1.5894885000000158
290,550,1.5645211999999447
280,550,1.7035975000001145
270,550,1.7268968000000768
260,550,1.6204730999997992
250,550,1.6234612999999172
240,550,1.5611897000001136
230,550,1.6373604000000341
220,550,1.6276626999999735
210,550,1.635872599999857
200,550,1.5278108999998494
190,550,1.5718002999999499
180,550,1.6043601999999737
170,550,1.5913457999999991
160,550,1.5564578000000893
150,550,1.5502760000001672
140,550,1.5720472999998947
130,550,1.57164970000008
120,550,1.6155664000000343
110,550,1.6072079999999005
100,550,1.6334168000000773
790,500,1.8039421999999377
780,500,1.4908706999999595
770,500,1.4531520999998975
760,500,1.4567489000000933
750,500,1.4227017999999134
740,500,1.4189318999999614
730,500,1.412365900000168
720,500,1.5754142999999203
710,500,1.4940876000000571
700,500,1.4548554999998942
690,500,1.4709027000001242
680,500,1.3938646999999946
670,500,1.4031568999998854
660,500,1.4458165000000918
650,500,1.3662744000000657
640,500,1.4412432999999965
630,500,1.4824661000000106
620,500,1.4909491999999318
610,500,1.422594300000128
600,500,1.6192074000000503
590,500,1.4685030999999071
580,500,1.4019657999999708
570,500,1.6362047000000075
560,500,1.5485677000001488
550,500,1.4903466000000662
540,500,1.7636255999998411
530,500,1.7042245000000094
520,500,1.5863259999998718
510,500,1.5310566999999082
500,500,1.4964809999999034
490,500,1.534234799999922
480,500,1.4500178000000687
470,500,1.5322759000000588
460,500,1.6046393999999964
450,500,1.5499127000000499
440,500,1.665369999999939
430,500,1.725447400000121
420,500,1.5465955999998187
410,500,1.5829237999998895
400,500,1.7093523000000914
390,500,1.7285991999999624
380,500,1.6195420999999897
370,500,1.6348027999999886
360,500,1.5523990000001504
350,500,1.5782464000001255
340,500,1.4898106000000553
330,500,1.5208046000000195
320,500,1.4842347999999674
310,500,1.6013487999998688
300,500,1.5472314999999526
290,500,1.6081381999999849
280,500,1.5709193000000141
270,500,1.6215077000001656
260,500,1.5620140000000902
250,500,1.6437402999999904
240,500,1.4699416999999357
230,500,1.5119650999999976
220,500,1.4737503999999717
210,500,1.4494904999999108
200,500,1.463265599999886
190,500,1.519732299999987
180,500,1.4762772999999925
170,500,1.462494099999958
160,500,1.5306683000001158
150,500,1.4531279999998787
140,500,1.4196630999999797
130,500,1.4750052000001688
120,500,1.479758400000037
110,500,1.4531738000000587
100,500,1.5230320999999094
790,450,1.6448265999999876
780,450,1.4216741000000184
770,450,1.3324012999999013
760,450,1.2778210999999828
